id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,keys,latitude,longitude,name,postalCode,province,sourceURLs,websites,features,state,feature_dict,price range
AWrROxTbcuP9ADUBCmQx,2019-05-19T17:54:31Z,2019-05-19T17:54:31Z,198 Central Avenue,"Hamburgers and Hot Dogs,American Restaurants,Fast Food Restaurants,Restaurants",Accommodation & Food Services,White Plains,US,us/ny/whiteplains/198centralavenue/-904778134,41.03715,-73.77877,Nathan's Famous Hot Dogs,10606,NY,https://www.yellowpages.com/white-plains-ny/mip/nathans-famous-hot-dogs-22308406,http://nathansfamous.com,"{'open-hours': 'Do you know the hours for this business?', 'extra-phones': 'Phone:(914) 497-5421Fax:(914) 682-2784', 'location-description': 'County Ctr', 'aka': 'Westchester County Center', 'weblinks': 'http://www.nathansfamous.com', 'categories': 'Hamburgers & Hot Dogs, American Restaurants, Fast Food Restaurants, Restaurants ', 'Cuisines': 'Burgers, American, Hot Dogs, Fast Food'}",New York,"{'open-hours': 'do you know the hours for this business?', 'extra-phones': 'phone:(914) 497-5421fax:(914) 682-2784', 'location-description': 'county ctr', 'aka': 'westchester county center', 'weblinks': 'http://www.nathansfamous.com', 'categories': 'hamburgers & hot dogs, american restaurants, fast food restaurants, restaurants', 'cuisines': 'burgers, american, hot dogs, fast food'}",average
AVweEg_oByjofQCxvA1V,2016-07-06T20:11:39Z,2019-05-19T07:41:13Z,527 Bald Eagle Dr,"Caterers,Seafood restaurants,Steak and chop restaurants,Crabs and crab houses,Restaurant Delivery Service,American restaurants,Seafood,Karaoke,Fast Food Restaurants,Take Out Restaurants,Family Style Restaurants,Restaurants,Restaurant,Steak Houses,Night Clubs,Bars",Accommodation & Food Services,Marco Island,US,us/fl/marcoisland/527baldeagledr/-873322027,25.9509,-81.7228,Kretch's Restaurant,34145,FL,"https://www.yellowbook.com/profile/kretchs-restaurant_1861069724.html,http://www.citysearch.com/profile/2781419/marco_island_fl/kretch_s_restaurant.html,https://www.yellowbook.com/profile/kretchs-restaurant_1861069725.html,http://www.yellowbook.com/profile/kretchs-restaurant_1867743048.html","http://www.kretchs.com,http://kretchs.com/,http://www.kretchs.com/",{},Florida,{},average
AVwdQloekufWRAb54Asw,2016-05-05T12:40:33Z,2019-05-18T23:45:36Z,3121 Yosemite Blvd,"Asian Restaurants,Caterers,Chinese Restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants",Accommodation & Food Services,Modesto,US,us/ca/modesto/3121yosemiteblvd/1235262340,37.6386,-120.9367,Fat Wong Chinese Food To Go,95354,CA,http://www.citysearch.com/profile/1154859/modesto_ca/fat_wong_chinese_food_to_go.html,http://www.fatwongchinesefood.com/,{},California,{},average
AWjXLnyyRxPSIh2RASUl,2019-02-10T10:28:04Z,2019-05-18T22:09:17Z,3905 Sw 40th Boulevard,"Fast Food Restaurant,Fast Food",Accommodation & Food Services,Gainesville,US,us/fl/gainesville/3905sw40thboulevard/-2061630068,29.6179,-82.3836,Burger King,32608,FL,"https://foursquare.com/v/burger-king/4b4d0620f964a5203ac826e3,http://www.citysearch.com/profile/2332224/gainesville_fl/burger_king.html","https://locations.bk.com/fl/gainesville/3905-sw-40th-boulevard.html,http://www.bk.com/",{},Florida,{},average
AVwdMBXWByjofQCxmbTu,2016-06-08T16:17:17Z,2019-05-18T21:25:22Z,8256 Orion Ave,"Mexican Restaurant,Restaurant,Mexican Restaurants,Mexican,Breakfast,Vegetarian,Fast Food Restaurant,Fast Food Restaurants,Fast Food,Cafes,Restaurants",Accommodation & Food Services,Van Nuys,US,us/ca/vannuys/8256orionave/-864103396,34.2208,-118.4719,Taco Bell,91406,CA,"http://www.citysearch.com/profile/633545994/van_nuys_ca/taco_bell_29284.html,http://www.citysearch.com/profile/738383900/van_nuys_ca/taco_bell.html,https://foursquare.com/v/taco-bell/4c057b3d5753c9288e8939f1,https://www.trip.com/van-nuys-ca/restaurants/taco-bell,https://foursquare.com/v/taco-bell/4c057b3d5753c9288e8939f1/menu,https://www.yellowpages.com/van-nuys-ca/mip/taco-bell-11972163,https://www.allmenus.com/ca/van-nuys/526794-taco-bell/menu/","https://locations.tacobell.com/ca/van-nuys/8256-orion-ave.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=029284&utm_content=website,https://locations.tacobell.com/ca/van-nuys/8256-orion-ave.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029284andutm_content=website,http://www.tacobell.com","{'open-hours': 'Regular HoursMon - Thu:9:00 am - 1:00 amFri - Sat:9:00 am - 2:00 amSun:9:00 am - 1:00 am', 'brands': 'Airheads, Brisk, Cinnabon, Dr Pepper, Lipton, MTN Dew, Mountain Dew, Pepsi, Sierra Mist, Starburst', 'payment': 'master card, visa, amex, cash, discover', 'neighborhoods': 'North Hills East, North Valley', 'weblinks': 'https://locations.tacobell.com/ca/van-nuys/8256-orion-ave.htmlhttps://www.tacobell.com/foodhttps://www.tacobell.com/food', 'categories': 'Fast Food Restaurants, Mexican Restaurants, Restaurants ', 'Wi-Fi': 'No', 'Bike Parking': 'Yes', 'Attire': 'Casual', 'Drive Through': 'Yes', 'Good For Groups': 'Yes', 'Good for Kids': 'Yes', 'Take Out': 'Yes', 'Cuisines': 'Mexican, Fast Food, Latin American, Vegetarian, Omelets', 'Price Range ': 'Below Average', 'Outdoor Seating': 'No', 'Takes Reservations': 'No'}",California,"{'open-hours': 'regular hoursmon - thu:9:00 am - 1:00 amfri - sat:9:00 am - 2:00 amsun:9:00 am - 1:00 am', 'brands': 'airheads, brisk, cinnabon, dr pepper, lipton, mtn dew, mountain dew, pepsi, sierra mist, starburst', 'payment': 'master card, visa, amex, cash, discover', 'neighborhoods': 'north hills east, north valley', 'weblinks': 'https://locations.tacobell.com/ca/van-nuys/8256-orion-ave.htmlhttps://www.tacobell.com/foodhttps://www.tacobell.com/food', 'categories': 'fast food restaurants, mexican restaurants, restaurants', 'wi-fi': 'no', 'bike parking': 'yes', 'attire': 'casual', 'drive through': 'yes', 'good for groups': 'yes', 'good for kids': 'yes', 'take out': 'yes', 'cuisines': 'mexican, fast food, latin american, vegetarian, omelets', 'price range': 'below average', 'outdoor seating': 'no', 'takes reservations': 'no'}",below average
AVwdTP_RkufWRAb54dbQ,2015-11-23T19:00:21Z,2019-05-18T20:32:24Z,2994 Crawfordville Hwy,"Restaurant,Fast Food Restaurant,Fast Food,Hamburgers,Restaurants",Accommodation & Food Services,Crawfordville,US,us/fl/crawfordville/2994crawfordvillehwy/696490760,30.1784,-84.3756,Hardee's,32327,FL,http://www.citysearch.com/profile/2284945/crawfordville_fl/hardee_s.html,"https://www.hardees.com/?utm_source=Yext&utm_medium=Visit%20Website&utm_campaign=Homepage,http://www.hardees.com/,http://hardees.com/",{},Florida,{},average
AWiEBGy03-Khe5l_ym4U,2019-01-25T07:20:13Z,2019-05-18T20:32:15Z,3750 NW 13th Street,"Fast Food,Chicken,Restaurants",Accommodation & Food Services,Gainesville,US,us/fl/gainesville/3750nw13thstreet/106088,29.6858,-82.3397,KFC,32609,FL,http://www.citysearch.com/profile/44602712/gainesville_fl/kfc.html,https://www.kfc.com/store-locator?query=32609,{},Florida,{},average
AWmf_r7xIxWefVJwMY1g,2019-03-21T11:03:37Z,2019-05-18T17:50:19Z,990 N. Western Ave.,"Mexican,Breakfast,Vegetarian,Fast Food,Restaurants",Accommodation & Food Services,Los Angeles,US,us/ca/losangeles/990n.westernave./-864103396,34.0883,-118.3088,Taco Bell,90029,CA,http://www.citysearch.com/profile/56462/los_angeles_ca/taco_bell.html,https://locations.tacobell.com/ca/los-angeles/990-n--western-ave-.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=028713&utm_content=website,{},California,{},average
AVwc0GNEByjofQCxieao,2016-03-29T04:46:55Z,2019-05-18T16:24:17Z,435 Germantown Pike,"Italian Restaurant,Caterers,Italian,Hot dog restaurants,Hamburger restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,Italian Restaurants,Pizza,American Restaurants,Mediterranean Restaurants,Hamburgers and Hot Dogs,Sandwich Shops",Accommodation & Food Services,Lafayette Hill,US,us/pa/lafayettehill/435germantownpike/697681611,40.0914,-75.2593,Tonelli's Takeout,19444-1815,PA,"https://www.yellowpages.com/lafayette-hill-pa/mip/tonellis-takeout-10431766#yp-rating,https://www.opentable.com/r/tonellis-takeout-lafayette-hill,https://www.yellowpages.com/lafayette-hill-pa/mip/tonellis-takeout-10431766,http://www.citysearch.com/profile/9022702/lafayette_hill_pa/tonelli_s_takeout.html,https://www.yellowbook.com/profile/tonellis-takeout_1534761805.html,http://www.yellowbook.com/profile/tonellis-takeout_1534761805.html","http://www.tonellistakeout.com/,http://www.yourhometownpages.com/tonellistakeout.pdf,http://www.yourhometownpages.com/","{'open-hours': 'Regular HoursMon - Thu:11:00 am - 9:00 pmFri - Sat:11:00 am - 10:00 pmSun:12:00 pm - 12:00 am', 'extra-phones': 'Phone:(610) 825-1188Fax:(610) 825-1188', 'payment': 'amex, discover, master card, visa, all major credit cards', 'weblinks': 'https://pizzamansprinter.com/tonellistakeout.pdf', 'categories': 'Pizza, Caterers, Italian Restaurants, Restaurants, Sandwich Shops ', 'Parking': 'Lot, Private', 'Wi-Fi': 'No', 'Attire': 'Casual', 'Cuisines': 'Caterers, Sandwiches, Italian, European, Continental, Pizza', 'Alcohol': 'No', 'Takes Reservations': 'No', 'Outdoor Seating': 'No', 'Price Range ': 'Average'}",Pennsylvania,"{'open-hours': 'regular hoursmon - thu:11:00 am - 9:00 pmfri - sat:11:00 am - 10:00 pmsun:12:00 pm - 12:00 am', 'extra-phones': 'phone:(610) 825-1188fax:(610) 825-1188', 'payment': 'amex, discover, master card, visa, all major credit cards', 'weblinks': 'https://pizzamansprinter.com/tonellistakeout.pdf', 'categories': 'pizza, caterers, italian restaurants, restaurants, sandwich shops', 'parking': 'lot, private', 'wi-fi': 'no', 'attire': 'casual', 'cuisines': 'caterers, sandwiches, italian, european, continental, pizza', 'alcohol': 'no', 'takes reservations': 'no', 'outdoor seating': 'no', 'price range': 'average'}",average
AWmfMlKga4HuVbedosmu,2019-03-21T07:08:33Z,2019-05-18T16:16:45Z,3111 Mahan Dr.,"Traditional American,Fast Food,Chicken,Hamburgers,Restaurants,Sandwich Shops",Accommodation & Food Services,Tallahassee,US,us/fl/tallahassee/3111mahandr./1536894814,30.4598,-84.225,Checkers,32308,FL,http://www.citysearch.com/profile/638885135/tallahassee_fl/checker_s.html,https://locations.checkers.com/fl/tallahassee/3111-mahan-dr.,{},Florida,{},average
